index,sequence_label,source,generator,chisqr_p,chisqr_X2.X-squared,chisqr_df.df,ks_p,ks_D.D,freq_p,freq_X2.X-squared,freq_df.df,eqdist_empiricalMean,eqdist_diff,gap_p,gap_X2.X-squared,gap_df.df,serial_autocorrelation,perm_observed_stat,perm_p,entropy_val,fft_dominant_frequency,fft_dominant_period,fft_max_magnitude,uniformity_score,patterns_score,periodicity_score,randomness_score
50,randoms-35,QRNG,IBM Qiskit (Single-Qubit),3.02210526461518e-11,68.48,9,4.20066493879215e-07,0.124,3.02210526461518e-11,68.48,9,0.504,0.004,3.88497190914805e-112,657.542857142857,41,0.0080825914999912,5.04,1.0,3.23752868306316,0.164,6.09756097560976,173.484129120686,0.7677013290468155,0.7551498367135168,0.5064370907621443,0.6764294188408254
51,randoms-36,QRNG,IBM Qiskit (Single-Qubit),4.90425736996456e-07,46.48,9,0.0006070782761407,0.09,4.90425736996456e-07,46.48,9,0.4868,0.0132,1.42279932638535e-116,682.232653061224,42,0.0941149379615006,4.868,1.0,3.26363888841583,0.166,6.02409638554217,191.846977080002,0.788523115314751,0.9255286193851935,0.41134081894895824,0.7084641845496341
52,randoms-37,QRNG,IBM Qiskit (Single-Qubit),0.000300745440545,30.96,9,6.06219924238892e-05,0.102,0.000300745440545,30.96,9,0.5018,0.0018,9.66200160694859e-131,754.391836734694,43,-0.0098725825433797,5.018,1.0,3.2822355621178,0.486,2.05761316872428,172.525461384021,0.7542959207596567,0.719591342472792,0.2731743844760429,0.5823538825694973
53,randoms-38,QRNG,IBM Qiskit (Single-Qubit),7.26707142455152e-07,45.56,9,2.8652561090907e-06,0.116,7.26707142455152e-07,45.56,9,0.508,0.008,5.8043319964915e-131,755.469387755102,43,0.0370512663824165,5.08,1.0,3.26304094164399,0.378,2.64550264550265,167.661108496159,0.7872874389709539,0.8125195094596553,0.36185481815654974,0.653887255529053
54,randoms-39,QRNG,IBM Qiskit (Single-Qubit),2.34338774888411e-07,48.2,9,0.0002908063955945,0.094,2.34338774888411e-07,48.2,9,0.4956,0.0044,2.48963835720417e-149,854.008163265306,46,0.0215670347142354,4.956,0.963,3.26048586013701,0.048,20.8333333333333,161.517587756719,0.7579646417994266,0.7818544787969006,0.3617116290064433,0.6338435832009235
55,randoms-4,QRNG,IBM Qiskit (Single-Qubit),0.0002735289625436,31.2,9,6.06219924238892e-05,0.102,0.0002735289625436,31.2,9,0.5168,0.0168,7.91997383900994e-118,691.355102040816,43,-0.0850298207001123,5.168,1.0,3.27942369375756,0.468,2.13675213675214,165.098372335017,0.8281285720874754,0.5707496652108751,0.27156867066045953,0.55681563598627
56,randoms-40,QRNG,IBM Qiskit (Single-Qubit),9.07756846724892e-05,33.96,9,6.06219924238892e-05,0.102,9.07756846724892e-05,33.96,9,0.5222,0.0222,6.744957451707709e-123,713.122448979592,42,-0.0482697478560943,5.222,1.0,3.27641874580719,0.306,3.26797385620915,207.760610958685,0.854795728550927,0.6435494517991447,0.3798512114702708,0.6260654639401142
57,randoms-41,QRNG,IBM Qiskit (Single-Qubit),7.10477619205093e-08,50.96,9,2.63813610118885e-05,0.106,7.10477619205093e-08,50.96,9,0.4988,0.0011999999999999,3.04694375200781e-136,781.151020408163,43,-0.0283728071057193,4.988,1.0,3.26059746010545,0.28,3.57142857142857,163.08842351054,0.7528753015917198,0.6829534281332791,0.36454940746570086,0.6001260457302333
58,randoms-42,QRNG,IBM Qiskit (Single-Qubit),8.82870210066024e-06,39.64,9,0.0012274053371617,0.086,8.82870210066024e-06,39.64,9,0.496,0.004,2.96750592916134e-132,761.755102040816,43,0.0447963477120994,4.96,1.0,3.2713540081607,0.144,6.94444444444444,183.562597676136,0.7182387820356325,0.8278578976696629,0.3534365222660283,0.6331777339904413
59,randoms-43,QRNG,IBM Qiskit (Single-Qubit),2.32890743494574e-08,53.52,9,1.71956722454752e-05,0.108,2.32890743494574e-08,53.52,9,0.5016,0.0016,2.19381418573655e-121,699.669387755102,40,-0.0683466662124986,5.016,1.0,3.25759980440807,0.432,2.31481481481481,161.195235121064,0.7552140921197341,0.603789047136775,0.37593461619572766,0.5783125851507456
60,randoms-44,QRNG,IBM Qiskit (Single-Qubit),1.90554268839453e-07,48.68,9,9.0799859524961e-05,0.1,1.90554268839453e-07,48.68,9,0.4868,0.0132,5.1665462050524405e-143,814.016326530612,43,0.0396530180347742,4.868,1.0,3.25957715302903,0.108,9.25925925925926,199.747150211612,0.809333738402722,0.8176720282223634,0.4495182852130386,0.6921746839460413
61,randoms-45,QRNG,IBM Qiskit (Single-Qubit),4.51787705238757e-05,35.68,9,0.0008666695293592,0.088,4.51787705238757e-05,35.68,9,0.503,0.003,1.82965173967184e-100,594.408163265306,39,-0.0726243878765058,5.03,1.0,3.27679793385166,0.442,2.26244343891403,146.614806698333,0.727839916219742,0.5953174310563292,0.2449647739629078,0.5227073737463263
62,randoms-46,QRNG,IBM Qiskit (Single-Qubit),1.44558073846363e-07,49.32,9,1.79437673449939e-06,0.118,1.44558073846363e-07,49.32,9,0.5058,0.0058,5.78533327721817e-144,824.848979591837,45,0.0499809219239325,5.058,1.0,3.25476251899913,0.442,2.26244343891403,163.330772198997,0.7765041271750149,0.8381254479483049,0.3952486512505544,0.6699594087912915
63,randoms-47,QRNG,IBM Qiskit (Single-Qubit),2.95245894050716e-05,36.72,9,0.0012274053371617,0.086,2.95245894050716e-05,36.72,9,0.502,0.002,6.95876526801224e-157,893.771428571428,47,0.0124567306437301,5.02,0.222,3.27581547109761,0.286,3.4965034965035,166.699697990406,0.7083858038034317,0.7638123983336418,0.2937078822727591,0.5886353614699442
64,randoms-48,QRNG,IBM Qiskit (Single-Qubit),7.61573924339518e-08,50.8,9,1.79437673449939e-06,0.118,7.61573924339518e-08,50.8,9,0.5158,0.0158,1.24657314305477e-130,753.85306122449,43,0.0235069154129002,5.158,1.0,3.26004616479732,0.036,27.7777777777778,202.56926546912,0.8257167601661012,0.785696225832298,0.45322806509079094,0.6882136836963967
65,randoms-49,QRNG,IBM Qiskit (Single-Qubit),8.90277166251793e-08,50.44,9,6.06219924238892e-05,0.102,8.90277166251793e-08,50.44,9,0.5102,0.0102,3.3715502272287e-107,630.387755102041,40,-0.0019264946537051,5.102,1.0,3.25535555116187,0.112,8.92857142857143,160.485900077906,0.7957864384192037,0.7353278048305938,0.38599758562451036,0.6390372762914359
66,randoms-5,QRNG,IBM Qiskit (Single-Qubit),0.0070574973845479,22.64,9,0.0008666695293592,0.088,0.0070574973845479,22.64,9,0.4938,0.0061999999999999,1.31384045597004e-91,550.816326530612,39,-0.0048086748590821,4.938,1.0,3.29066905112619,0.292,3.42465753424658,149.907271317964,0.74004431298986,0.7296199243062351,0.18039495242261683,0.5500197299062374
67,randoms-50,QRNG,IBM Qiskit (Single-Qubit),7.78045024182463e-07,45.4,9,9.0799859524961e-05,0.1,7.78045024182463e-07,45.4,9,0.5124,0.0124,2.89306812985274e-124,719.791836734694,42,0.0400331272872252,5.124,1.0,3.26360875681055,0.394,2.53807106598985,164.667476451931,0.805396433643645,0.8184247980162667,0.35241075812762857,0.6587439965958467
68,randoms-51,QRNG,IBM Qiskit (Single-Qubit),0.0024836524088796,25.48,9,0.0017244401703835,0.084,0.0024836524088796,25.48,9,0.507,0.007,2.28159314216299e-118,691.008163265306,42,0.0334119998810418,5.07,1.0,3.28789139027254,0.112,8.92857142857143,154.554369233959,0.7117171344709532,0.8053122923857906,0.2048605846017411,0.5739633371528282
69,randoms-52,QRNG,IBM Qiskit (Single-Qubit),0.0002122140616425,31.84,9,0.0001988712714996,0.096,0.0002122140616425,31.84,9,0.5102,0.0102,1.71198288140578e-122,708.114285714286,41,-0.0251497791773298,5.102,1.0,3.27916677986601,0.198,5.05050505050505,143.519010561658,0.7901066043239614,0.6893363247709001,0.225985512769516,0.5684761472881259
70,randoms-53,QRNG,IBM Qiskit (Single-Qubit),1.64418486693112e-06,43.64,9,2.63813610118885e-05,0.106,1.64418486693112e-06,43.64,9,0.4902,0.0097999999999999,7.07774323677682e-111,651.371428571429,41,-0.052761865076776,4.902,1.0,3.26842298648281,0.222,4.5045045045045,168.041725702594,0.7951973412616354,0.6346532459514913,0.3348517683179165,0.5882341185103477
71,randoms-54,QRNG,IBM Qiskit (Single-Qubit),0.0567852545544052,16.52,9,4.20066493879215e-07,0.124,0.0567852545544052,16.52,9,0.5402,0.0402,1.2943072609600899e-126,737.30612244898,44,-0.0134154033148286,5.402,1.0,3.29891066940782,0.156,6.41025641025641,185.492902230719,0.9171548348221495,0.7125751268853971,0.2151377268184485,0.6149558961753318
